OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_LOG,P12_RP,P12_RSECOCC,P12_LOGVAC,TX12_RSECOCC,TX12_LOGVAC,P12_PMEN,TMM12,P12_RP_PROP,P12_RP_LOC,P12_RP_LOCHLMV,P12_RP_GRAT,TX12_RP_PROP,TX12_RP_LOCHLM,SHAPE_Length,SHAPE_Area
45,750004414,75103,12,751031201,H,Sainte-Avoye 1,55459.19222673,43194.2898586,55459.19222673,Paris,T1,751031201,751031201,75,00851,75103,Paris 3e Arrondissement,Sainte-Avoye 1,H,00,1,6.7806556572,1543.00643589771,1222.69321685429,202.094583785905,118.218635257515,13.0974556608591,7.66157758692277,2022.68204834745,1.65428418221812,431.962369291551,709.120755895972,13.0183207304734,81.6100916667665,35.3287614045076,1.06472503085987,1108.64545438576,67800.6793423649
46,750004475,75103,12,751031202,H,Sainte-Avoye 2,44892.68003617,37384.36626227,40846.0915704,Paris,T1,751031202,751031202,75,00851,75103,Paris 3e Arrondissement,Sainte-Avoye 2,H,00,1,5.53535957994,1428.00573428663,1089.40099405331,211.819849512874,126.784890720448,14.8332632304653,8.87845809553307,1827.91652671701,1.67790972901166,354.453722653434,649.706887320615,71.4874184150081,85.2403840792559,32.536570517953,6.56208492604975,955.287223316526,55348.6588645366
47,750004465,75103,12,751031203,H,Sainte-Avoye 3,31129.6352086,29836.62199658,31129.6352086,Paris,T1,751031203,751031203,75,00851,75103,Paris 3e Arrondissement,Sainte-Avoye 3,H,00,1,4.26516330482,1419.50622066206,1181.80270171971,144.296582952762,93.4069359895878,10.1652659813961,6.58024139873251,1958.04992134468,1.6568331740107,322.689518729709,812.723382101885,377.095565526429,46.3898008881118,27.3048553925411,31.9085042687495,855.71782436847,42647.9006835806
48,750004405,75103,12,751031204,H,Sainte-Avoye 4,34125.55099336,31000.41001816,33249.82759551,Paris,T1,751031204,751031204,75,00851,75103,Paris 3e Arrondissement,Sainte-Avoye 4,H,00,1,4.74474256582,1555.50671326489,1275.38749247124,171.064350703546,109.054870090101,10.997339275026,7.0108903523279,2162.95679461989,1.69592128461983,400.120404558134,772.559044479022,77.2190096517444,102.708043434084,31.3724579329883,6.0545528404173,852.08796960255,47443.3999123723
49,750004499,75104,13,751041301,H,Saint-Merri 1,33283.96418234,32317.03245552,33283.96418234,Paris,T1,751041301,751041301,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 1,H,00,2,4.42516850752,1358.48690712618,945.057844211509,271.869645362436,141.559417552235,20.0126805739751,10.4203740801373,1739.56688774052,1.84069885075859,361.45553062045,533.087468079333,16.2513894185496,50.5148455117267,38.2469213746406,1.71961848876125,931.738345575953,44247.565778239
50,750004489,75104,13,751041302,H,Saint-Merri 2,75107.43305801,60494.73405218,74275.67758034,Paris,T1,751041302,751041302,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 2,H,00,1,10.5001598037,1832.4814796223,1336.82096597227,395.754351486878,99.9061621631519,21.5966358125731,5.45196026667315,2270.90545691517,1.69873566821534,399.763021915227,856.104002728446,24.0303979051709,80.9539413285944,29.9040060031135,1.79757787443838,1354.96808255071,104991.866481133
51,750004484,75104,13,751041303,H,Saint-Merri 3,31131.50644375,30887.79055387,30887.79055387,Paris,T1,751041303,751041303,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 3,H,00,2,4.97933390378,1307.98517325852,1070.21029447424,157.186455516466,80.5884232678106,12.0174493358266,6.16126428001052,1789.93027464837,1.67250332377685,214.538006439715,754.894463611116,232.688884166092,100.777824423407,20.0463411300964,21.7423515142326,1078.96268218672,49788.7681971931
52,750004530,75104,13,751041304,A,Saint-Merri 4,41880.56846214,3451.36747641,28301.47337696,Paris,T1,751041304,751041304,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 4,A,00,3,7.63432630319,250.713565285437,206.099435403316,27.365812618419,17.2483172637025,10.9151703009221,6.87969047229868,357.242850832059,1.73335191400681,44.7871306518309,140.725455320829,0,20.5868494306559,21.7308361685645,0,1289.22255729993,76335.8332685918
53,750004541,75104,13,751041305,A,Saint-Merri 5,5919.54928278,3.55037445,5919.54928278,Paris,T1,751041305,751041305,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 5,A,00,3,0.859425162674,,,,,,,,,,,,,,,375.62740899531,8593.41997391819
54,750004558,75104,13,751041399,D,Seine et Berges,1888.91359102,0.01548308,0.01548308,Paris,T1,751041399,751041399,75,00851,75104,Paris 4e Arrondissement,Seine et Berges,D,00,3,2.90284262743,,,,,,,,,,,,,,,1068.00989547901,29025.5591229893
